code,name,constituency_id,num_voters
A011804A,D/A PRIM SCH BLK A. 2 TIKOBO NO.1,1,524.5
A011804B,D/A PRIM SCH BLK A. 2 TIKOBO NO.1,1,524.5
A011805,D/A PRIM SCHOOL BLK B. 1 TIKOBO NO.1,1,174
A011806,D/A PRIM SCHOOL BLK B. 2 TIKOBO NO.1,1,169
A011807,OLD MARKET SQUARE TIKOBO NO.1,1,357
A011901,R/C PRIM SCHOOL ELLENDA,1,541
A011902,D/A JHS BLOCK  A  ELLENDA,1,171
A011903,D/A JHS BLOCK  B  ELLENDA,1,388
A011904,COCOA SHED ELLENDA WHARF,1,159
A012001A,D/A JHS ALLOWULEY,1,377.5
A012001B,D/A JHS ALLOWULEY,1,377.5
A012002,AKENYA ADONLE'S RESIDENCE,1,528
A012003,MARKET SQUARE EHOAKA,1,395
A012004,M/A PRIM SCH EHOAKA,1,195
A012101,MAME KONE ADWO'S RESIDENCE A TWINEN,1,315
A012102,PUBLIC SQUARE TWINEN,1,240
A012103,PUBLIC SQUARE AGYEZA,1,581
A012104,MARKET SQUARE ALLENGENZULLEY,1,226
A012201,MARKET SQUARE NAWULLEY,1,503
A012202,EBANYENLE SQUARE NAWULLEY,1,349
A012301,INFORMATION CENTRE BEYIN,1,284
A012302,MARKET SQUARE BEYIN,1,270
A012303,EGYA BONZO'S RESIDENCE,1,123
A012304,PUBLIC SQUARE MAYEGYINA,1,55
A012305,PUBLIC SQUARE EKABAKU,1,136
A012306,R/C JHS BEYIN,1,155
A012307,MARKET SQUARE NGELEKAZO,1,333
A012401,MARKET SQUARE ELLONYI NO. 1,1,242
A012402,PALACE SQUARE ELLONYI NO. 2,1,236
A012403,PUBLIC SQUARE ELLONYI NO.3,1,154
A012404,BEYELAKAH'S SQUARE ELLONYI NO.4,1,187
A012405,ST. MARY'S CATHOLIC CHURCH KENGEN,1,204
A012406,R/C MISSION HOUSE KENGEN,1,300
A012407,EHOMA TOM SQUARE KENGEN,1,291
A012408,MARKET SQUARE KENGEN,1,256
A012501,R/C PRIM SCHOOL NUBA A,1,637
A012502,R/C JHS SCH NUBA,1,332
A012503,R/C CHURCH NUBA. 1,1,552
A012504,R/C CHURCH NUBA. 2,1,400
A012601,D/A PRIMARY SCH ANWIAFUTU,1,438
A012602,D/A JHS ANWIAFUTU JUNCTION,1,455
A012603,D/A PRIM SCHOOL ANKASA,1,556
A012604,D/A PRIN SCH KWABILE,1,268
A012701,COMMUNITY CENTRE MPATABA. 1,1,694
A012702,COMMUNITY  CENTRE MPATABA. 2,1,100
A012703,MING DAWN ICT CENTRE MPATABA. 1,1,449
A012704,MING DAWN ICT CENTRE MPATABA. 2,1,234
A012801,D/A PRIM SCHOOL. MPATABA COMPOUND,1,245
A012802A,MARKET SQUARE SOWODADZEM. 1,1,410.5
A012802B,MARKET SQUARE SOWODADZEM. 1,1,410.5
A012803,MARKET SQUARE SOWODADZEM. 2,1,79
A012804,D/A PRIM SCH AMOKWAWSUAZO,1,298
A012805,D/A PRIM SCH OLD ANKASA,1,269
A012806,COMMUNITY CENTRE MPATABA MILE 5,1,122
A012807,D/A PRIM SCH NAVRONGO TWEAKO,1,227
A012901,MANS PRIM. SCH.. AHUMASUAZO,1,615
A012902,OLD PRIM. SCH. TEACHER'S QUARETERS AHUMASUAZO,1,250
A012903,D/C PRIM SCHOOL. AZULETI,1,426
A012904A,D/A JHS SAMANYE EAST,1,478
A012904B,D/A JHS SAMANYE EAST,1,478
