name,constituency_id
Esther Nana Yaaba Dickson,60
Daniel Osekine Noye,60
Sarah Dugbakie Pobee,74
Cudjoe Comfort Doyoe,74
Domaley Tetebo Justina Lanuermle Adu,74
Daniel Ceasar Osabutey,74
Lydia Appiah,74
James A. Bright Akoto,74
Yaw Buaben Asamoa,70
Mohammed Adamu Ramadan,70
Emmanuel Kwartey Quartey,70
Razak Alhassan,70
Akwasi Owusu Afrifa-Mensa,46
Sedem Kweku Afenyo,46
Adofo Felix,46
Adjei Mensah Michael,46
Dickson Adomako Kissi,44
Allotey Emmanuel Adotey,44
Hannah Naana Cann,44
Samuel Afriyie Owusu,44
Snyper Aikins,44
Labaran Yakubu Barry,69
Norgbey Ernest Henry,69
Henry Quartey,51
Abdul Rauf Tongym Tubazu,51
Gifty Hawa Hammond,51
Charles Kwame Adams,51
Vida Koranteng,51
Peter Kwame Antwi Mireku,49
Naser Toure Mahama,49
Manaf Mohammadu Osumanu Alidu,50
Yussif I. Jajah,50
Lydia Seyram Alhassan,52
John Setor Dumelo,52
Gifty Botchway,52
Richard Mawuli Amegatse,52
Sylvester Tetteh,41
Alexander Ackuaku,41
Joseph Gerald Tetteh Nyanyofio,62
Rita Naa Odoley Sowah,62
Sinare Hummi,62
Sinare Hummi,62
Gifty Koshie Odamtten,62
Michael Paa Kojo Bowman Amuah,62
Sarah Adwoa Safo,47
Faustina Elikplim Akurugu,47
Kofi Kwachie Asante,47
Abdul Kadri Issah,47
Anderson Adongo Emmanuel,47
Philip E. K. Doe,42
Sophia Karen Edem Ackuaku,42
Duodu Gideon,42
Zanetor Agyeman-Rawlings,61
Prince Appiah Debrah,61
Fred Ntow Boateng,61
Hopeson Yaovi Adorye,68
Joseph Akuerteh Tetteh,68
Masaudu Chief Moro,68
Moro Issifu,68
Alpha Issifu,68
Elizabeth Afoley Quaye,64
Lartey Agnes Naa Momo,64
Hannah Bortey,64
Bernard Okoe Boye,63
Benjamin Ayiku Narteh,63
Lord Adjetey Doku,63
Lucky Mensah,63
Abu-Bakar Saddique Boniface,48
Francis Xavier Kojo Sosu,48
Prince Joseph Oppong-Boadi,48
Alexander Leonel Martey,72
Samuel Nartey George,72
Freeborn Kofi Teye,72
Angmor Richard Nartey,72
Edward Patrick Nii Lante Bannerman,55
Edwin Nii Lantey Vanderpuye,55
Ebenezer Otoo,55
Issaka Sampson,55
Patrick Yaw Boamah,56
Abdul Rashid Issah,56
Fuseini Issah,57
Theresa Lardi Awuni,57
Abdulhamidu Ibrahim Futa,57
Dakoa Newman,53
Abraham Kotei Neequaye,53
Lasi Eunice,73
Otuteye Christian Corleytey,73
Kirkfield Johannes Nmonlotey,73
Benjamin Nargeh,71
Linda Obenewaa Akweley Ocloo,71
Yves Hanson-Nortey,66
Ebi Bright,66
Daniel Nii Kwartei Titu-Glover,65
Isaac Ashai Odamtten,65
Adjei Stephen Adjierteh,65
Carlos Kingsley Ahenkorah,67
Raphael Kwasi Sarpong Tufuor,67
Emmanuel Abossey Ashison,67
Solomon Duncan Amponsah,67
Hyde Karen,67
Moses Anim,45
Emmanuel Yaw Agbesi Gbedemah,45
Vida Oppong,45
Tina Gifty Naa Ayeley Mensah,43
Cleland Nii Ayaa Ayison,43
Oromasis Nii Djaban Abbey,43
Saviour Kofi Gbedze,43
Rita Dugah,43
Thomas Moon Jnr,43
Nadi Imoro Sanda,248
Sebastian Ngmenenso Sandaare,248
Paul Derigubaa,249
Dapilah Cletus Seidu,249
Bakye Yelviel Baligi,250
Edward Kaale-Ewola Dery,250
Deribaa Mwinfor David,250
Baloroo John Doughr,250
Anthony Abayifaa Karbo,251
Bede Anwataazumo Ziedeng,251
Elvis Banoemuleng Botah,247
Sumah Anthony Nwinkaara,247
Mornah Bernard Anbataayela,247
Saandong Mwiniban-Era Fataawu,247
Ambrosse Dery,252
Richard Kuuire,252
Bataglia Mohammed Issah,254
Zakaria Jaasu Abdul-Baari,254
Kanton Kingsley Kassim,254
Issahaku Amidu Chinnia,254
Salifu Naliwie Baluwie,253
Mohammed Adams Sukpraku,253
Katuo Aasoglenang Henry,253
Hajia Humu Awudu,244
Abdul-Rashid Hassan Pelpuo,244
Kuuyine Edgard Yelyaga,244
Mohammed Sharif,244
Salifu Yakubu,246
Godfred Seidu Jasaw,246
Dari Daniel Kuusongno,245
Peter Lanchene Toobu,245
Agbanwa Gabiana Abugri,271
Ayariga Mahama,271
Ayabah David Kwesi,271
Kasim Siniwani,271
Kwame Isaac,271
Abanga Abdulai,275
Robert Baba Kuganab-Lem,275
Ayeeda John Ayebilla,275
Rex Simeon Atareyella Asanga,265
Adongo Isaac,265
Latifa Abdul Rahman,265
Francis Adago,265
Emmanuel Abugre Abole,266
Dominic Akuritinga Ayine,266
Ayinbisa Ayamga Peter,267
Bawa Edward Abambire,267
Akamah Richard,267
George A-Engbinge Afari,267
Maurice James Abakisi,262
James Agalga,262
Clement Abas Apaak,261
Robert Apechira Aloo,264
Thomas Adda Dalu,264
Musah Osman,273
Alalzuuga Albert Akuka,273
Dominic Azimbe Azumah,273
Boniface Gambila Adagbila,269
Mark Kurt Nawaane,269
Tangoba Abayage,263
Sampson Tamgombu Chiragia,263
Abdul-Karim Zanni Dubiure,272
Laadi Ayii Ayamba,272
Moses Azuma Musa,272
Aguri Akugri John,272
Akunye Simon Atingban,272
Thomas Pearson Duanab Wuni,268
Baba Benson Tongo,268
Michael Wombeogo,268
Joseph Dindiok Kpemka,274
Akanvariba Lydia Lamisi,274
Frank Fuseini Adongo,270
Avoka Cletus Apul,270
Anafo Benjamin,270
Karim Mahamadu Aduku,270
David Sei Demah,237
Sulemana Yusif,237
Mahama Asei Seini,240
Shaibu Mahama Obey,240
Samuel Abdulai Jinapor,239
Adam Mutawakilu,239
David Tiki Dange,239
Alhassan Abdallah Iddi,243
Alhassan Mumuni,243
Iddrisu Nashiru,243
Salifu Adam Braimah,242
Zuwera Mohammed Ibrahimah,242
Muntari Abdul Jalilu,242
Bagyim Abraham Mbido,242
Benasco Seidu Nuhu,238
Chiwitey Andrew Dari,238
Yakubu Ibrahim,238
Iddrisu Salia,241
John Abdulai Jinapor,241
Bakari John Osman,241
Abdul-Salam Hamza Fataw,236
Hamza Adam,236
Nabila Alhassan Basiru,236
Abukari Abdul-Fatawu,236
Felicia Tettey,233
Alhassan Bashir Alhassan Fuseini,233
Mbomba Thomas,223
Tampi Acheampong,223
Nitiwul Bingab Aduna Dominic,220
Mahamadu Attah Nantogmah,220
Daniel Ndagbalan Gmabi,220
Alhassan Somed,220
Zakaria Sulemana,220
Alhassan Tampuli Sulemana,227
Mohammed Yussif Malimali,227
Abdulai Abdul-Razak,227
Mohammed Amin Adam,228
Alhassan Sualihu Dandaawa,228
Nyidam Matthew,219
Daniel Nsala Wakpal,219
Ambasagna Ekusu John,219
Donkor Eric Nipani,219
